afgano	Afganistán
africano	África
argelino	Argelia
americano	Estados_Unidos
angolano	Angola
argentino	Argentina
asiático	Asia
australiano	Australia
austriaco	Austria
bangladesí	Bangladés
bielorruso	Bielorrusia
belga	Belgian
boliviano	Bolivia
bosnio	Bosnia_y_Herzegovina
brasileño	Brasil
británico	Reino_Unido
búlgaro	Bulgaria
camboyano	Camboya
camerunés	Camerún
canadiense	Canadá
chadiano	Chad
chino	República_Popular_China
colombiano	Colombia
congoleño	Congo
costarricense	Costa_Rica
croata	Croacia
checo	República_Checa
danés	Dinamarca
holandés	Países_Bajos
ecuatoriano	Ecuador
egipcio	Egipto
inglés	Reino_Unido
estonio	Estonia
etíope	Etiopía
finlandés	Finlandia
francés	Francia
alemán	Alemania
ghanés	Ghana
griego	Grecia
guatemalteco	Guatemala
Hondureño	Honduras
húngaro	Hungría
islandés	Islandia
indio	India
indonesio	Indonesia
iraní	Irán
iraquí	Irak
irlandesa	Irlanda_(isla)
israelí	Israel
italiano	Italia
marfileño	Costa_de_Marfil
jamaicano	Jamaica
japonés	Japón
Jordano	Jordania
kazakh	Kazajistán
keniano	Kenia
lao	Laos
letón	Letonia
libio	Libia
lituano	Lituania
madagascarí	Madagascar
malasio	Malasia
mauritano	Mauritania
mexicano	México
marroquí	Marruecos
namibio	Namibia
neozelandés	Nueva_Zelanda
nicaragüense	Nicaragua
nigeriano	Nigeria
nigeriano	Nigeria
norteafricano	África
noruego	Noruega
omaní	Omán
pakistaní	Pakistán
panameño	Panamá
paraguayo	Paraguay
peruano	Perú
filipino	Filipinas
polaco	Polonia
portugués	Portugal
rumano	Rumania
ruso	Rusia
salvadoreño	El_Salvador
escocés	Escocia
senegalés	Senegal
serbio	Serbia
singapurense	Singapur
eslovaco	Eslovaquia
somalí	Somalia
sudafricano	África
sudamericano	South_American
español	España
sudanés	Sudán
sueco	Suecia
suizo	Suiza
sirio	Siria
tailandés	Tailandia
tunecino	Túnez
turco	Turquía
turcomano	Turkmenistán
ucraniano	Ucrania
uruguayo	Uruguay
vietnamita	Vietnam
galés	Gales
zambiano	Zambia
zimbabuo	Zimbabue